stock.id,species,stock,region,sub.region,brood.yr,spawners,recruits,use,recruits.3,recruits.4,recruits.5,age,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1981,31326,56758,1,18997,36161,1600,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1982,30573,38729,1,16694,20349,1685,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1983,14013,104537,1,22527,77393,4617,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1984,33726,130567,1,50558,77175,2833,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1985,26068,62715,1,12344,48019,2352,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1986,21826,77581,1,20043,52520,5017,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1987,73990,30066,1,5246,23336,1484,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1988,42681,38799,1,10540,24398,3860,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1989,28185,16530,1,1080,12344,3106,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1990,15990,127482,1,28684,94330,4468,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1991,30727,27465,1,17601,9650,214,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1992,8093,42656,1,27483,15007,167,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1993,22854,6420,1,2201,3610,609,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1994,86797,67391,1,6803,59640,949,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1995,22606,14033,1,9970,4047,16,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1996,16999,16174,1,10258,5335,580,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1997,7371,12420,1,1107,9284,2029,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1998,71152,347441,1,111756,230726,4959,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,1999,12770,37820,1,14300,22275,1246,data,,,,,,,,,,,,
305,Chum,S Sound Winter,Inside WA,Inside WA,2000,3828,48484,1,8678,36814,2992,data,,,,,,,,,,,,
