"","stock","broodyear","run","spawners","recruits","r3","r4","r5","r6","r7"
"250","Babine-Mid-Wild",1999,32452,22946,51015.684504611,721.708355128,30576.033668419,19717.942481064,0,0
"251","Babine-Mid-Wild",2000,50379,19982,94441.255629593,8185.044943953,67604.37405669,18651.83662895,0,0
"252","Babine-Mid-Wild",2001,111549,47818,30917.116460116,1039.683462246,23611.08229627,6266.3507016,0,0
"253","Babine-Mid-Wild",2002,51496,24573,49254.45624286,6152.08107478,18047.08999113,25055.28517695,0,0
"254","Babine-Mid-Wild",2003,132607,83151,7722.395889716,251.55930727,1640.524626957,5830.311955489,0,0
"255","Babine-Mid-Wild",2004,88362,51747,41536.008900178,613.190196093,21691.779056585,19231.0396475,0,0
"256","Babine-Mid-Wild",2005,48415,31371,9260.65987013,270.908987926,5705.40906875,3284.341813454,0,0
"257","Babine-Mid-Wild",2006,24565,12515,44737.207186824,688.55128375,4515.9700001,39532.685902974,0,0
"258","Babine-Mid-Wild",2007,27309,12595,148591.456055474,1000.688186446,34629.406987428,112961.3608816,0,0
"259","Babine-Mid-Wild",2008,27793,12744,24608.475735998,1275.907109598,20414.703806,2917.8648204,0,0
"260","Babine-Mid-Wild",2009,25625,18341,6565.685457076,323.9353124,2854.4329791,3387.317165576,0,0
"261","Babine-Mid-Wild",2010,8801,6065,73707.036472304,4277.70221055,18743.15499992,50686.179261834,0,0
