Stock,Brood Year,Escapement,0.1,0.2,1.1,0.3,1.2,2.1,0.4,1.3,2.2,3.1,1.4,2.3,3.2,3.3,2.4,3.4,4.1,4.2,4.3,4.4,2.5,1.5,,,
Upper Station Early Sockeye,2014,"36,823 ",0 ,98 ,"3,481 ",0 ,"26,729 ","1,368 ",0 ,"8,904 ","16,940 ",0 ,36 ,"1,325 ",123 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,2015,"54,473 ",0 ,148 ,"3,289 ",0 ,"18,840 ","2,582 ",0 ,"7,220 ","9,210 ",0 ,0 ,975 ,0 ,0 ,0 ,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,2016,"48,047 ",0 ,39 ,"12,490 ",0 ,"28,723 ","2,978 ",0 ,"20,419 ","14,562 ",0 ,0 ,72 ,0 ,,,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,2017,"84,950 ",0 ,128 ,"16,245 ",81 ,"137,702 ","7,582 ",0 ,"43,856 ","39,355 ",0 ,,,,,,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,2018,"61,732 ",0 ,0 ,"12,002 ",261 ,"47,385 ","4,530 ",,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,2019,"49,517 ",0 ,0 ,808 ,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,2020,"56,190 ",0 ,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,2021,"108,225 ",,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,
Upper Station Early Sockeye,2022,"82,824 ",,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1963,"63,563",,,,,,,,,,,0,"58,667","6,268",0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1964,"36,342",,,,,,,0,158,"50,206",0,0,"5,705","3,375",0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1965,"76,456",,,,0,158,"3,470",0,0,"33,522",0,0,"13,150","5,534",0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1966,"66,057",,0,315,0,"1,173","16,622",0,"3,285","57,850",0,0,"51,109","7,031",0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1967,"227,089",0,0,"1,772",0,"24,013","3,338",0,"16,469","78,834",0,0,"23,976",0,0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1968,"220,850",0,0,83,0,"4,199","2,825",0,"34,463","89,549",0,0,"123,053","8,493",0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1969,"71,160",0,0,0,0,"4,756","3,703",0,"3,704","78,972",0,0,"13,734",652,0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1970,"33,863",0,0,0,0,"1,084","6,325",0,"2,052","17,543",0,0,"9,152","3,274",0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1971,"109,174",0,0,"3,251",0,"35,919","18,925",0,"26,505","184,053",0,0,"16,736","3,364",0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1972,"113,733",0,0,"5,080",0,"121,160","6,723",0,"99,681","260,325",0,0,"71,225",0,0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1973,"119,993",0,0,986,"1,395","79,993","7,548",0,"82,532","110,906",0,0,"45,469","1,393",0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1974,"181,631",0,0,"3,364",0,"46,281",0,0,"45,109","129,000",0,0,"221,923","3,892",0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1975,"94,517",0,0,0,"1,393","10,982","14,989",0,"30,950","308,251",0,0,"96,141",858,0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1976,"219,047",0,0,"5,835","3,855","405,330","8,408",0,"164,495","187,009",0,0,"61,395",0,0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1977,"306,982",0,0,0,0,"5,060","3,431",0,"18,656","170,721",0,0,"85,541","3,940",0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1978,"132,864",0,0,0,0,"1,556","15,799",0,"14,937","45,081",0,0,"42,151","2,747",0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1979,"222,270",0,0,"3,625",441,"16,345","18,352",0,"40,958","131,539",0,0,"41,815","1,438",0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1980,"774,328",0,0,"11,780","13,347","402,761","24,781",0,"232,583","305,083",0,0,"159,440","2,762",0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1981,"279,200",0,0,"17,149",0,"310,784","7,450",0,"230,889","328,622",0,0,"168,527","28,564",0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1982,"169,678",0,0,"6,857","7,500","1,626","2,596",0,"16,351","123,667",0,0,"77,129","4,751",0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1983,"171,415",0,0,548,"1,171","20,198","15,116",0,"72,231","168,055",0,0,"104,765","1,148",0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1984,"283,215",0,0,"7,779","3,311","138,185","78,899",0,"72,319","197,026",0,0,"103,450","3,347",0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1985,"388,759",0,0,"61,345","3,903","365,489","18,971",0,"589,731","513,314",0,0,"229,750","4,276",0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1986,"318,135",0,0,"4,480","38,326","571,371","6,489",0,"506,463","365,644",0,0,"231,471","5,967",0,0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1987,"261,913",0,0,"12,991","15,380","173,341","13,602",0,"103,512","317,142",0,0,"341,728","32,807","5,063",0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1988,"291,774",0,0,"2,822","3,351","81,584","2,832",0,"62,159","126,124",0,0,"27,783","10,655","8,225",0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1989,"768,101",0,0,"2,571","5,565","26,297","29,189",0,"18,318","310,379",0,0,"254,557","59,553","46,238",0,0,NA,NA,NA,NA,NA,NA,,,
Ayakulik,1990,"371,282",0,0,"1,028","8,047","3,618","14,638",0,"59,035","295,167",0,0,"202,600","16,202",102,0,38,NA,NA,NA,NA,NA,NA,,,
