,stock,broodyear,spawners,recruits,R3,R4,R5,R6,R7
480,Bowser,2006,12049,19070,0,4316,12856,1898,0
481,Bowser,2007,6817,15316,0,5639,7728,1950,0
482,Bowser,2008,8110,15570,0,3389,7938,4243,0
483,Bowser,2009,6646,26045,0,3482,17274,5289,0
484,Bowser,2010,12697,35726,0,7576,21534,6616,0
485,Bowser,2011,13531,38132,0,9445,26936,1751,0
486,Bowser,2012,8548,20797,0,11814,7130,1854,0
487,Bowser,2013,8025,12397,0,3127,7547,1724,0
488,Bowser,2014,20926,11667,0,3310,7018,1339,0
489,Bowser,2015,21382,9717,0,3078,5452,1187,0
490,Bowser,2016,33407,9738,0,2391,4833,2513,0
491,Bowser,2017,10656,16180,0,2120,10233,3828,0
492,Bowser,2018,11120,23440,0,4488,15584,3368,NA
513,Damdochax,1982,7270,25058,0,18181,6499,378,0
514,Damdochax,1983,798,10812,0,3466,5674,1672,0
515,Damdochax,1984,1599,28901,0,3026,25087,789,0
516,Damdochax,1985,22282,26023,0,13380,11828,815,0
517,Damdochax,1986,15196,19461,0,6308,12225,928,0
518,Damdochax,1987,3208,23375,0,6520,13912,2943,0
519,Damdochax,1988,3275,52766,0,7420,44141,1205,0
520,Damdochax,1989,7713,41990,0,23542,18078,370,0
521,Damdochax,1990,6091,15712,0,9642,5550,521,0
522,Damdochax,1991,5297,11449,0,2960,7808,681,0
523,Damdochax,1992,5976,16083,0,4164,10221,1698,0
524,Damdochax,1993,13414,31212,0,5451,25471,291,0
525,Damdochax,1994,10283,18080,0,13584,4363,133,0
526,Damdochax,1995,1546,4858,0,2327,1990,541,0
527,Damdochax,1996,2187,9274,0,1061,8110,103,0
528,Damdochax,1997,4109,6301,0,4325,1548,428,0
529,Damdochax,1998,15728,7456,0,825,6422,209,0
530,Damdochax,1999,1844,6661,0,3425,3128,108,0
531,Damdochax,2000,1303,3661,0,1668,1620,373,0
532,Damdochax,2001,4687,7084,0,864,5589,630,0
533,Damdochax,2002,944,12682,0,2981,9455,246,0
534,Damdochax,2003,4240,9027,0,5043,3686,299,0
535,Damdochax,2004,1914,6735,0,1966,4483,286,0
536,Damdochax,2005,1488,7199,0,2391,4292,516,0
537,Damdochax,2006,4439,10597,0,2289,7744,565,0
538,Damdochax,2007,4439,13012,0,4130,8469,412,0
